gender,id,item,question,condition,rating,belief,outcome
female,2,Grace,wrongness,neutral,4,neutral,neutral
female,11,Grace,wrongness,neutral,1,neutral,neutral
male,16,Grace,wrongness,neutral,1,neutral,neutral
male,17,Grace,wrongness,neutral,1,neutral,neutral
male,20,Grace,wrongness,neutral,2,neutral,neutral
male,22,Grace,wrongness,neutral,1,neutral,neutral
male,24,Grace,wrongness,neutral,1,neutral,neutral
male,30,Grace,wrongness,neutral,1,neutral,neutral
female,31,Grace,wrongness,neutral,1,neutral,neutral
male,33,Grace,wrongness,neutral,1,neutral,neutral
male,39,Grace,wrongness,neutral,1,neutral,neutral
female,40,Grace,wrongness,neutral,1,neutral,neutral
male,52,Grace,wrongness,neutral,1,neutral,neutral
male,53,Grace,wrongness,neutral,1,neutral,neutral
male,58,Grace,wrongness,neutral,1,neutral,neutral
male,61,Grace,wrongness,neutral,1,neutral,neutral
female,68,Grace,wrongness,neutral,1,neutral,neutral
male,69,Grace,wrongness,neutral,1,neutral,neutral
female,71,Grace,wrongness,neutral,1,neutral,neutral
male,76,Grace,wrongness,neutral,1,neutral,neutral
female,78,Grace,wrongness,neutral,4,neutral,neutral
female,84,Grace,wrongness,neutral,1,neutral,neutral
male,90,Grace,wrongness,neutral,5,neutral,neutral
female,93,Grace,wrongness,neutral,7,neutral,neutral
male,98,Grace,wrongness,neutral,6,neutral,neutral
female,101,Grace,wrongness,neutral,1,neutral,neutral
female,110,Grace,wrongness,neutral,1,neutral,neutral
male,111,Grace,wrongness,neutral,1,neutral,neutral
male,112,Grace,wrongness,neutral,4,neutral,neutral
male,115,Grace,wrongness,neutral,1,neutral,neutral
male,120,Grace,wrongness,neutral,1,neutral,neutral
female,121,Grace,wrongness,neutral,1,neutral,neutral
male,126,Grace,wrongness,neutral,7,neutral,neutral
female,132,Grace,wrongness,neutral,1,neutral,neutral
male,135,Grace,wrongness,neutral,1,neutral,neutral
female,140,Grace,wrongness,neutral,1,neutral,neutral
male,150,Grace,wrongness,neutral,5,neutral,neutral
male,153,Grace,wrongness,neutral,1,neutral,neutral
female,156,Grace,wrongness,neutral,1,neutral,neutral
female,158,Grace,wrongness,neutral,2,neutral,neutral
male,160,Grace,wrongness,neutral,1,neutral,neutral
male,163,Grace,wrongness,neutral,1,neutral,neutral
female,164,Grace,wrongness,neutral,1,neutral,neutral
female,175,Grace,wrongness,neutral,1,neutral,neutral
female,177,Grace,wrongness,neutral,6,neutral,neutral
male,180,Grace,wrongness,neutral,1,neutral,neutral
female,184,Grace,wrongness,neutral,1,neutral,neutral
male,189,Grace,wrongness,neutral,7,neutral,neutral
male,191,Grace,wrongness,neutral,1,neutral,neutral
male,196,Grace,wrongness,neutral,1,neutral,neutral
male,199,Grace,wrongness,neutral,1,neutral,neutral
male,207,Grace,wrongness,neutral,1,neutral,neutral
male,209,Grace,wrongness,neutral,1,neutral,neutral
female,214,Grace,wrongness,neutral,3,neutral,neutral
male,218,Grace,wrongness,neutral,1,neutral,neutral
male,221,Grace,wrongness,neutral,1,neutral,neutral
male,224,Grace,wrongness,neutral,1,neutral,neutral
female,226,Grace,wrongness,neutral,1,neutral,neutral
female,227,Grace,wrongness,neutral,1,neutral,neutral
male,233,Grace,wrongness,neutral,3,neutral,neutral
male,239,Grace,wrongness,neutral,1,neutral,neutral
female,252,Grace,wrongness,neutral,1,neutral,neutral
female,256,Grace,wrongness,neutral,3,neutral,neutral
female,259,Grace,wrongness,neutral,1,neutral,neutral
female,264,Grace,wrongness,neutral,3,neutral,neutral
female,265,Grace,wrongness,neutral,1,neutral,neutral
female,267,Grace,wrongness,neutral,4,neutral,neutral
female,269,Grace,wrongness,neutral,3,neutral,neutral
male,273,Grace,wrongness,neutral,1,neutral,neutral
female,274,Grace,wrongness,neutral,2,neutral,neutral
male,283,Grace,wrongness,neutral,1,neutral,neutral
male,284,Grace,wrongness,neutral,5,neutral,neutral
female,292,Grace,wrongness,neutral,1,neutral,neutral
