id,Class,Sex,Age,Survived
1,3rd,Male,Child,No
2,3rd,Male,Child,No
3,3rd,Male,Child,No
4,3rd,Male,Child,No
5,3rd,Male,Child,No
6,3rd,Male,Child,No
7,3rd,Male,Child,No
8,3rd,Male,Child,No
9,3rd,Male,Child,No
10,3rd,Male,Child,No
11,3rd,Male,Child,No
12,3rd,Male,Child,No
13,3rd,Male,Child,No
14,3rd,Male,Child,No
15,3rd,Male,Child,No
16,3rd,Male,Child,No
17,3rd,Male,Child,No
18,3rd,Male,Child,No
19,3rd,Male,Child,No
20,3rd,Male,Child,No
21,3rd,Male,Child,No
22,3rd,Male,Child,No
23,3rd,Male,Child,No
24,3rd,Male,Child,No
25,3rd,Male,Child,No
26,3rd,Male,Child,No
27,3rd,Male,Child,No
28,3rd,Male,Child,No
29,3rd,Male,Child,No
30,3rd,Male,Child,No
31,3rd,Male,Child,No
32,3rd,Male,Child,No
33,3rd,Male,Child,No
34,3rd,Male,Child,No
35,3rd,Male,Child,No
36,3rd,Female,Child,No
37,3rd,Female,Child,No
38,3rd,Female,Child,No
39,3rd,Female,Child,No
40,3rd,Female,Child,No
41,3rd,Female,Child,No
42,3rd,Female,Child,No
43,3rd,Female,Child,No
44,3rd,Female,Child,No
45,3rd,Female,Child,No
46,3rd,Female,Child,No
47,3rd,Female,Child,No
48,3rd,Female,Child,No
49,3rd,Female,Child,No
50,3rd,Female,Child,No
51,3rd,Female,Child,No
52,3rd,Female,Child,No
53,1st,Male,Adult,No
54,1st,Male,Adult,No
55,1st,Male,Adult,No
56,1st,Male,Adult,No
57,1st,Male,Adult,No
58,1st,Male,Adult,No
59,1st,Male,Adult,No
60,1st,Male,Adult,No
61,1st,Male,Adult,No
62,1st,Male,Adult,No
63,1st,Male,Adult,No
64,1st,Male,Adult,No
65,1st,Male,Adult,No
66,1st,Male,Adult,No
67,1st,Male,Adult,No
68,1st,Male,Adult,No
69,1st,Male,Adult,No
70,1st,Male,Adult,No
71,1st,Male,Adult,No
72,1st,Male,Adult,No
