ID,order,textD,vrD,diff,Rttuti,RTVRuti,RTtcon,RTVRcon,screxpT,scrcontT,scrutiT,scrnonuT,screxpV,scrcontV,scrutiV,scrnonuV,TextES,VRES,gap,recall,Textuticont,VRuticont
1,0,0.25,1,0.75,3.13639999999998,8.710199999999986,6.138974999999988,8.443370000000002,0.20604407093998778,0.36410367872838,0.14749549574040874,0.2645926461395668,1.471163134599016,1.1164660878639723,1.471163134599016,NA,6.5,5.75,21,0.357142857,-0.21660818298797127,0.35469704673504365
6,0,1,1,0,6.687249999999999,4.101325000000017,4.127849999999988,4.802300000000017,0.4568677002227072,0.31392360369997685,0.4568677002227072,NA,0.45785422169468915,0.46943280865969794,0.45785422169468915,NA,3.75,4.75,22,1.428571429,0.14294409652273032,-0.011578586965008797
7,0,1,1,0,3.326650000000022,4.961375000000027,5.073800000000002,5.645500000000013,0.10163772378429738,0.07919042821716321,0.10163772378429738,NA,0.07996058405186228,0.050639084574113175,0.07996058405186228,NA,6,2.5,70,1.285714286,0.022447295567134165,0.029321499477749105
8,0,1,1,0,3.130775000000021,4.706775000000036,2.35114999999999,3.315,0.276002097767743,0.2625290719677372,0.276002097767743,NA,1.2389663546521534,0.946085090011609,1.2389663546521534,NA,2.5,2,60,NA,0.013473025800005756,0.2928812646405444
9,0,0.5,0.75,0.25,4.836850000000027,9.775399999999971,3.1169249999999806,5.287095000000001,0.6081662009644853,0.2646202133394295,0.6496729316250033,0.5666594703039671,1.6093018302366,0.35078757742675154,1.74270253585069,1.8761032414647798,5,6.25,22,1.785714286,0.3850527182855738,1.3919149584239385
10,0,0.75,1,0.25,5.536166666666683,5.276100000000014,2.7763000000000204,8.326826666666676,0.0428989607258084,0.0683874210272618,0.051824926962084746,0.03397299448953206,0.6461210391572184,0.7729323900474504,0.6461210391572184,NA,5.75,5.25,127,-0.785714286,-0.01656249406517705,-0.126811350890232
12,0,1,1,0,6.695200000000007,6.114775000000009,5.56127500000003,3.723199999999977,0.09551106887294834,0.12809587637951977,0.09551106887294834,NA,0.33394297102897696,0.09734546438996713,0.33394297102897696,NA,4,6,129,0.785714286,-0.03258480750657143,0.23659750663900983
14,0,1,1,0,5.157274999999984,5.913324999999993,5.075833333333321,5.756839999999987,0.4900532328128249,0.6632302802955402,0.4900532328128249,NA,NA,NA,NA,NA,2,2,35,0.142857143,-0.17317704748271529,0
15,0,0.75,1,0.25,4.575066666666676,5.891617500000002,5.06987500000001,4.894549999999981,0.3136946346751516,0.21817328570538017,0.279968255901789,0.3474210134485142,0.34319002811830646,0.5772464089321012,0.34319002811830646,NA,3.75,2,108,-0.428571429,0.06179497019640881,-0.23405638081379476
17,0,0,0.5,0.5,NA,6.231449999999995,NA,5.334949999999992,0.473680993325627,0.269236254085841,NA,0.473680993325627,0.5217839180416864,0.2710327062540343,0.31825902116322835,0.7253088149201445,2,2,133,-0.785714286,-0.269236254085841,0.047226314909194045
20,0,0.5,1,0.5,3.7852499999999907,9.171132500000034,3.059950000000015,6.4964999999999975,0.056809599793339716,0.11053922673394592,0.041651075798154955,0.07196812378852448,0.17780911272235417,0.3150118174867617,0.17780911272235417,NA,5.5,4,119,-0.714285714,-0.06888815093579097,-0.13720270476440755
22,0,0.75,1,0.25,3.3977424999999712,6.49292500000001,3.5146500000000387,4.936549999999983,0.2046801960157709,0.16746676117519912,0.3488428084677942,0.0605175835637476,0.8891084196779844,0.517086894659099,0.8891084196779844,NA,1,4,43,-0.214285714,0.18137604729259507,0.3720215250188854
28,0,1,1,0,3.8858499999999996,5.162324999999981,5.425766666666665,6.766610000000007,0.2278546874362375,0.23220867028731917,0.2278546874362375,NA,1.091295907511652,1.0855182163304011,1.091295907511652,NA,4,4.25,148,0.714285714,-0.004353982851081684,0.005777691181250821
31,0,0.5,1,0.5,3.4768500000000415,4.631824999999994,3.2391499999999995,4.323200000000014,0.44652281904140056,0.32043898819800976,0.3800603530132549,0.5129852850695461,1.078066390007793,0.6145411047892713,1.078066390007793,NA,5.5,4.75,166,-1.214285714,0.05962136481524516,0.46352528521852165
34,0,1,1,0,4.261174999999994,4.7624674999999925,5.182525,2.8583999999999605,0.018106898997129337,0.021296336694476954,0.018106898997129337,NA,0.042508721976280715,0.04120391962709079,0.042508721976280715,NA,2,3.5,161,-1,-0.003189437697347617,0.0013048023491899277
35,0,0.75,1,0.25,4.033166666666678,3.5676024999999907,4.972425,3.940950000000001,0.06488656198190074,0.052995770104939895,0.059676506206280726,0.08051672930876076,0.1918361750651876,0.10056853897197732,0.1918361750651876,NA,2.25,1,166,-1.5,0.006680736101340831,0.09126763609321029
36,0,1,1,0,5.049375000000005,5.4733999999999625,3.51465,3.940950000000001,0.4557919222877061,0.5731536398159806,0.4557919222877061,NA,0.48551718310682096,0.398714469474418,0.48551718310682096,NA,1.5,5,88,NA,-0.11736171752827446,0.08680271363240294
38,0,0,1,1,NA,6.411624999999994,NA,4.659966666666652,0.35278968506692504,0.30819650217610983,NA,0.35278968506692504,0.0069563372208136355,0.017529959977793386,0.0069563372208136355,NA,2,5,NA,-1.929,-0.30819650217610983,-0.010573622756979751
39,0,0,0.5,0.5,NA,7.777800000000013,NA,3.346150000000023,0.23171208131237075,0.11970976932647712,NA,0.23171208131237075,0.4479745008905639,0.25066332322974283,0.5343749433120849,0.36157405846904295,1,5,188,0.286,-0.11970976932647712,0.2837116200823421
4,1,1,1,0,2.960050000000031,7.094149999999978,3.243799999999986,6.3149999999999995,0.5792830674534407,0.6875887075218815,0.5792830674534407,NA,0.7606740376384511,0.2904352050041801,0.7606740376384511,NA,2,5.75,79,1.214285714,-0.10830564006844079,0.470238832634271
5,1,1,1,0,3.9353249999999917,7.599185000000004,4.114674999999995,5.715,0.04944990154107396,0.07769793747221278,0.04944990154107396,NA,0.03927269256695644,0.04472526606822746,0.03927269256695644,NA,3.5,5,79,-0.785714286,-0.028248035931138817,-0.00545257350127102
13,1,1,1,0,4.08075,6.1733250000000055,3.714825,4.42,0.0968021503733505,0.11482812663878156,0.0968021503733505,NA,0.38765302099986093,0.1726775949831747,0.38765302099986093,NA,2,5,105,-0.214285714,-0.01802597626543105,0.21497542601668623
16,1,1,0.75,-0.25,5.92,6.038373333333358,4.773449999999997,6.9,0.06770498579950399,0.1335332339357993,0.06770498579950399,NA,0.12127841084025692,0.062885643,0.070795277,0.17176154468051383,5,1.25,35,-0.785714286,-0.06582824813629531,0.007909633999999999
21,1,1,1,0,4.67875,4.6328150000000115,7.079625000000043,4.09,0.04072396903726931,0.30368068547720295,0.04072396903726931,NA,1.467083915,0.963873016,1.467083915,NA,5.25,6,133,1.214285714,-0.2629567164399336,0.5032108989999999
23,1,1,1,0,4.094499999999989,7.953949999999999,3.6862924999999933,6.09684,0.22673112685803642,0.414325740791548,0.22673112685803642,NA,0.2108844305098895,0.1719312359177174,0.2108844305098895,NA,2,2.5,152,-0.857142857,-0.18759461393351157,0.03895319459217211
24,1,0.75,1,0.25,3.752333333333335,6.174562499999986,3.6443374999999847,4.108899999999977,0.08437123375672502,0.2326917168423628,0.11147938175352867,0.05726308575992137,0.23698019274853208,0.22593536107428316,0.23698019274853208,NA,2,4,36,-0.642857143,-0.12121233508883414,0.011044831674248912
25,1,1,1,0,3.4983000000000004,3.922582499999997,3.6816750000000127,4.74704999999999,0.2035427756739959,0.22648322276921792,0.2035427756739959,NA,1.0544220663574269,0.8382692398776812,1.0544220663574269,NA,4.25,3.25,74,-1.142857143,-0.022940447095222027,0.21615282647974565
26,1,1,1,0,6.716899999999995,6.668925000000009,6.266275000000022,6.771965000000023,0.2950310917386153,0.36879190546783613,0.2950310917386153,NA,0.28406214393024626,0.12518899610185175,0.28406214393024626,NA,1.5,1.5,148,-1.928571429,-0.07376081372922083,0.1588731478283945
29,1,0.5,1,0.5,6.896599999999992,6.046097499999998,4.819199999999995,4.6885999999999894,0.47076755631135064,0.40886270170309735,0.5277838406566558,0.41375127196604544,0.29826941912183524,0.1924773667170493,0.29826941912183524,NA,1,1,66,-1.071428571,0.11892113895355849,0.10579205240478595
30,1,1,1,0,2.726174999999998,4.403800000000011,3.956924999999977,5.390155,0.3119970815124934,0.21880013223383632,0.3119970815124934,NA,0.4955306202694568,0.41958745535238817,0.4955306202694568,NA,3,3,154,-0.357142857,0.09319694927865707,0.07594316491706865
32,1,0.5,1,0.5,5.62054999999998,6.817885000000011,3.9314499999999946,5.7622000000000355,7.788703026266716e-4,9.029723988175181e-4,7.24005707684117e-4,8.337348975692262e-4,0.10016290838020787,0.029901924356609356,0.10016290838020787,NA,2.5,5.25,158,-1.571428571,-1.7896669113340107e-4,0.07026098402359851
33,1,0.75,0.75,0,4.380633333333321,7.924799999999995,3.656599999999994,5.273300000000006,0.02885809315023734,0.038251423092610336,0.022289292379605644,0.04856449546213243,0.23483249711516319,0.20604777217603967,0.2236721949677006,0.26831340355755096,3.25,6,182,0.071428571,-0.01596213071300469,0.017624422791660932
37,1,1,1,0,3.3223999999999805,5.267552500000008,2.4303500000000042,5.392233333333337,0.21560674450408812,0.10557003406855574,0.21560674450408812,NA,0.16312301337260796,0.23209424409428486,0.16312301337260796,NA,2.5,5.25,204,-0.928571429,0.11003671043553238,-0.06897123072167691
40,1,0.75,1,0.25,4.0746333333333284,3.926767499999986,3.7732500000000115,4.129899999999978,0.00858495958162557,0.019092917114169144,0.009104259914272635,0.007027058583684369,0.1861682747227318,0.11673570989396474,0.1861682747227318,NA,2.5,2.5,110,-0.5,-0.009988657199896509,0.06943256482876707
