title,year,length,budget,rating,votes,mpaa,genre
"Shawshank Redemption, The",1994,142,25,9.1,149494,R,Drama
"Lord of the Rings: The Return of the King, The",2003,251,94,9,103631,PG-13,Action
"Lord of the Rings: The Fellowship of the Ring, The",2001,208,93,8.8,157608,PG-13,Action
"Lord of the Rings: The Two Towers, The",2002,223,94,8.8,114797,PG-13,Action
Pulp Fiction,1994,168,8,8.8,132745,R,Drama
Schindler's List,1993,195,25,8.8,97667,R,Drama
Star Wars,1977,125,11,8.8,134640,PG,Action
Star Wars: Episode V - The Empire Strikes Back,1980,129,18,8.8,103706,PG,Action
C'era una volta il West,1968,158,5,8.7,17241,PG-13,Drama
Cidade de Deus,2002,135,3.3,8.7,25964,R,Drama
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,93,1.8,8.7,63471,PG,Comedy
Memento,2000,113,5,8.7,90317,R,Drama
Eternal Sunshine of the Spotless Mind,2004,108,20,8.6,46240,R,RomCom
American Beauty,1999,121,15,8.5,109991,R,Drama
Apocalypse Now,1979,202,31.5,8.5,64785,R,Action Drama
"Boot, Das",1981,216,14,8.5,28920,R,Drama
Fight Club,1999,139,63,8.5,112092,R,Drama
"Matrix, The",1999,136,63,8.5,143853,R,Action
"Pianist, The",2002,150,35,8.5,30467,R,Drama
Taegukgi hwinalrimyeo,2004,140,12.8,8.5,1792,R,Action Drama
American History X,1998,119,10,8.4,59677,R,Drama
Requiem for a Dream,2000,102,4.5,8.4,47845,R,Drama
Se7en,1995,127,30,8.4,88371,R,Drama
Aliens,1986,154,18.5,8.3,63961,R,Action
Amadeus,1984,180,18,8.3,36955,R,Drama
Before Sunset,2004,80,10,8.3,8789,R,Romance Drama
Braveheart,1995,177,53,8.3,92437,R,Action Drama
Crash,2004,113,6.5,8.3,1660,R,Drama
Donnie Darko,2001,133,4.5,8.3,51961,R,Drama
"Incredibles, The",2004,121,92,8.3,30749,PG,Animated
Kill Bill: Vol. 1,2003,111,55,8.3,65026,R,Action Drama
Kill Bill: Vol. 2,2004,136,30,8.3,44189,R,Action Drama
Million Dollar Baby,2004,132,30,8.3,20195,PG-13,Drama
Saving Private Ryan,1998,170,70,8.3,100267,R,Action Drama
Sin City,2005,124,45.5,8.3,23473,R,Action
Strangers on a Train,1951,103,1.2,8.3,10624,PG,Drama
"Adventures of Robin Hood, The",1938,102,1.9,8.2,7359,PG,Action
Amores perros,2000,153,2,8.2,15079,R,Drama
Fargo,1996,98,7,8.2,65597,R,Drama
Festen,1998,105,1.3,8.2,11983,R,Drama
Forrest Gump,1994,142,55,8.2,89722,PG-13,Comedy Drama
Once Upon a Time in America,1984,227,30,8.2,19292,R,Drama
"Sixth Sense, The",1999,107,55,8.2,96987,PG-13,Drama
Terminator 2: Judgment Day,1991,154,100,8.2,77614,R,Action Drama
Wo hu cang long,2000,120,15,8.2,52198,PG-13,Action
Big Fish,2003,125,70,8.1,31525,PG-13,Comedy Drama
Garden State,2004,109,2.5,8.1,23814,R,RomCom
"Green Mile, The",1999,188,60,8.1,60142,R,Drama
Star Wars: Episode VI - Return of the Jedi,1983,135,32.5,8.1,82471,PG,Action
"Station Agent, The",2003,88,0.5,8.1,7112,R,Drama
Ying xiong,2002,93,30,8.1,24128,PG-13,Action Drama
21 Grams,2003,124,20,8,21857,R,Drama
Almost Famous,2000,162,60,8,38648,R,Comedy Drama
"Big Lebowski, The",1998,117,15,8,50179,R,Comedy
